"","logFC","logCPM","LR","PValue","FDR"
"Bra033098",-12.1531054088993,6.0708227253708,998.828905163184,3.22715519196705e-219,7.75614478837361e-215
"Bra023495",-11.8891705682678,5.79229844334205,974.507684843329,6.24378384546269e-214,7.50315504709251e-210
"Bra016271",-14.2506917620743,8.14446679037659,891.367791728077,7.38531599762915e-196,5.91662282290063e-192
"Bra020631",-11.3183146705898,5.20685835500695,870.77223399295,2.216676636729e-191,1.33189015717862e-187
"Bra011216",-11.2587700750171,5.1336496198507,853.851927012136,1.05718623322405e-187,5.08168278586135e-184
"Bra020643",-14.3839880918435,8.28073646178923,841.055283315372,6.39998104224993e-185,2.56361907282391e-181
"Bra009785",7.95094562774686,6.01850263685557,786.830102099942,3.93970403959646e-173,1.35266924125231e-169
"Bra011765",-7.31994723851278,6.34155306188199,749.444310677161,5.29942193870158e-165,1.59207883593442e-161
"Bra026924",-8.33401295883729,5.02825962345745,729.989447400274,9.00522223401672e-161,2.40479456858175e-157
"Bra029392",8.33906446182689,6.29647600803225,723.141056831345,2.77744032973335e-159,6.67530008848114e-156
"Bra032700",7.91866679427652,5.201775910799,705.99838473499,1.48362403405877e-155,3.24158363950622e-152
"Bra014936",7.12184215552588,6.41335617631823,694.312658147218,5.15776058660994e-153,1.03301348282153e-149
"Bra009821",8.418576824349,5.90062912451431,686.546804956829,2.51901187453642e-151,4.65707164558526e-148
"Bra013702",-9.30084965588069,4.96540669090606,650.058426088334,2.16972477386536e-143,3.72479751536286e-140
"Bra032339",8.27888014954988,4.71457898629377,615.585432352059,6.82205212607677e-136,1.09307467198753e-132
"Bra033316",8.72566730409601,4.70169854251585,611.230161940809,6.04208427927534e-135,9.07596584800647e-132
"Bra019678",7.9111888827104,5.84010025507037,592.953852827572,5.70698982047331e-131,8.06834078501504e-128
"Bra031678",-10.6001150893716,4.48319612438197,591.20683530484,1.36900713301223e-130,1.82792874637866e-127
"Bra017778",-10.2887069810146,4.1942934747961,590.225750007373,2.2377167490832e-130,2.83059391302451e-127
"Bra017888",-7.39295764218797,4.70351601290658,588.057207825568,6.62971197608792e-130,7.96692488166486e-127
"Bra040221",5.23183796777072,5.2797474755091,580.614399619683,2.75699785678123e-128,3.15531840428001e-125
"Bra035069",-10.3091165631778,4.21486796324546,568.99505229089,9.28795612985441e-126,1.01466698920419e-122
"Bra025126",-6.41084006316737,5.25096318507871,568.740751972906,1.05496366170481e-125,1.10239115849624e-122
"Bra012631",4.72830065339644,5.93756405218914,567.832297036933,1.66284550596904e-125,1.66520120376917e-122
"Bra009466",-10.432188283522,4.3233411791744,567.032698423402,2.48191816829575e-125,2.38601685027281e-122
"Bra017698",-6.17163416582449,4.5817100287394,556.6052456142,4.60358586298887e-123,4.25548394734902e-120
"Bra035136",5.74284741215213,6.43302625584959,551.13308702071,7.1367110835001e-122,6.35273015484598e-119
"Bra033829",-10.3462387938952,4.26195564882596,549.09072020038,1.98516093816996e-121,1.70397707099918e-118
"Bra022071",8.0913322581604,4.53299917140718,544.375396803173,2.10659575809827e-120,1.7458593948322e-117
"Bra100355",-10.4453934532517,4.27113856845297,543.271232159257,3.66257726138065e-120,2.93421273000075e-117
"Bra008191",8.51043324168937,4.95631390898264,534.746661114535,2.6199654482481e-118,2.03123385752241e-115
"Bra026843",-4.65670163459381,6.11067186297359,531.740102126778,1.18135748358265e-117,8.87273305013297e-115
"Bra001707",-7.68280964157951,4.67738943781988,522.836957416988,1.02170951156178e-115,7.44114133359872e-113
"Bra021340",6.9578388567955,4.63862370609725,513.707973053909,9.89627075802417e-114,6.99549915877509e-111
"Bra026944",-6.61904648443869,4.52908263195116,509.722102623977,7.28915538931291e-113,5.0053588750499e-110
"Bra005748",8.21565340558616,4.65948982303149,495.044262887441,1.1382805454503e-109,7.59928739704235e-107
"Bra024670",-6.19906235254719,4.26375260333586,487.165378319196,5.8965382601761e-108,3.83020001473169e-105
"Bra040628",10.3233935663698,4.3092873773594,479.384434718085,2.90863668666448e-106,1.83963616124458e-103
"Bra015108",-5.26928060812662,4.59764445660359,476.767254202639,1.07941099738278e-105,6.65193946438402e-103
"Bra040268",-9.94111976959337,3.82450462494206,470.951576848044,1.98929449301281e-104,1.19526759612675e-101
"Bra024600",7.13750547512081,4.45020031681061,467.864149665684,9.34431771895626e-104,5.4775934648145e-101
"Bra006384",10.0868846253733,4.08433120441942,467.433855336011,1.15926781771444e-103,6.63377207879733e-101
"Bra019453",5.99808602751933,4.89766457682053,465.778350726061,2.65729153098204e-103,1.48524057338656e-100
"Bra100433",-10.5065800498004,4.4444666135333,463.886572697761,6.85667506555031e-103,3.74530292103264e-100
"Bra026762",-9.86823100644102,3.74314165906115,463.680566799163,7.60226884023816e-103,4.06028731791742e-100
"Bra040132",7.61454090256785,4.08383497753106,463.38220289269,8.82818241646173e-103,4.6125333955922e-100
"Bra012950",-7.85998921676466,3.94666384908524,458.294837547284,1.12970628908035e-101,5.77688530888449e-99
"Bra026370",8.66306873675661,3.99126405396134,449.955485659366,7.37569814369906e-100,3.69307352470131e-97
"Bra000176",-4.97880483949457,4.46161064660061,448.197311522189,1.78005001343705e-99,8.73096367815223e-97
"Bra017966",-4.15404424846601,5.08144784060433,440.537686869089,8.26846692846684e-98,3.97448668317544e-95
