"","logFC","logCPM","LR","PValue","FDR"
"Bra010821",6.65716608962581,6.04053090678884,153.200399562459,3.46318791829277e-35,8.32342584282485e-31
"Bra033034",-4.6398945228447,6.61222567854273,71.2282558871094,3.1819836457539e-17,3.82378974710246e-13
"Bra035334",-4.14250672522513,4.66714615081477,68.2155799466591,1.4656315681904e-16,1.17416630366294e-12
"Bra003598",-4.89368134668215,3.89993941665518,54.1125674098675,1.89326470216859e-13,1.137568096298e-09
"Bra016182",7.71436173456259,6.32965736284416,49.6130791478186,1.87261148704469e-12,9.0012688959264e-09
"Bra013164",4.0983967229724,9.32903453448286,48.0239444709723,4.21045761193555e-12,1.68656897075432e-08
"Bra009406",6.19965712019873,6.59291719874441,47.3822066193443,5.84104920481946e-12,2.00548252269473e-08
"Bra033856",-3.23481893447175,5.71767441342258,47.0538147953855,6.90641040278841e-12,2.07485834525771e-08
"Bra011196",5.01776378225853,3.35272094068268,46.4602616080119,9.34954424197667e-12,2.49674384790741e-08
"Bra041036",-3.28072956543637,7.16336937021092,45.7994373273164,1.31001164191722e-11,3.14848198018384e-08
"Bra011170",6.89863832827333,2.14543732476616,42.9820063444715,5.52456480837994e-11,1.20706718731458e-07
"Bra037664",-3.02216421409487,3.87151512935585,42.6948170007699,6.39815929900381e-11,1.28144467160215e-07
"Bra002697",2.71317202319307,4.8579372849742,41.6619313575649,1.08501214664511e-10,2.00593707172836e-07
"Bra025547",-3.34428839006196,5.72873498440113,41.2402484312013,1.3462178267931e-10,2.31107137493895e-07
"Bra016316",-3.43320019894042,3.10273278910609,40.4639603248971,2.00276337864298e-10,3.20896100282036e-07
"Bra019741",3.41104678261117,7.82635474829613,39.6903886647289,2.97586416308214e-10,4.47011995596976e-07
"Bra020500",4.96030934059762,9.28921464312524,38.0663544504563,6.83791452907922e-10,9.66720222305235e-07
"Bra005176",5.57520623175486,5.99938413055214,37.0999631306204,1.1222584408738e-09,1.49846440933116e-06
"Bra036334",3.42679291930554,8.77688203883376,36.9156159928061,1.23353991442922e-09,1.56036306859958e-06
"Bra013340",-2.19325074126208,4.68978069538184,35.7597077500493,2.23216920958455e-09,2.56082279140817e-06
"Bra011670",-1.91345445908922,5.17893703938486,35.7550170498278,2.237550079869e-09,2.56082279140817e-06
"Bra038908",7.38600513616984,5.73060177886532,35.4273275283039,2.64746215779874e-09,2.89223206820613e-06
"Bra027181",2.6498395650708,8.22503720568672,35.3251745758431,2.79002283941278e-09,2.91545256184551e-06
